"sku","title","score","reasons","jumia_title","jumia_brand","image_url","page_url"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","12","brand,tokens:vitro|burner|gas|cooker,family:gas cooker","Hob 3 gas burner 1 Vitro ceramic Built in cooker ,Glass ,60*60cm","Bolesi","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/1633523/1.jpg?5249","https://www.jumia.co.ke/bolesi-hob-3-gas-burner-1-vitro-ceramic-built-in-cooker-glass-6060cm-325336133.html"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","9","tokens:burner|gas|cooker,size,family:gas cooker","Amaze 3 burner table top gas cooker . ","Generic","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/0972723/1.jpg?5850","https://www.jumia.co.ke/generic-amaze-3-burner-table-top-gas-cooker-.-327279020.html"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","9","tokens:burner|gas|cooker,size,family:gas cooker","3 Burner Table Top Infrared Glass Table Top Gas Cooker","Nunix","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/6865511/1.jpg?6796","https://www.jumia.co.ke/customer/account/login/?tkWl=NU344HA2CY9NBNAFAMZ-153615932&return=%2Fcatalog%2F%3Fq%3D3%2520Burner%2520Cooking"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","9","tokens:burner|gas|cooker,size,family:gas cooker","3 Burner Low Gas Consumption Glass Top Table Infrared Cooker","Nunix","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/1478762/1.jpg?3572","https://www.jumia.co.ke/nunix-3-burner-low-gas-consumption-glass-top-table-infrared-cooker-267874174.html"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","12","tokens:stand|mixer,size,family:mixer,spec:5l,spec:5l","3 in 1 Kitchen Stand Mixer Machine, 1200W Power, 5L Large Capacity, Stainless Steel Bowl, variable S","Sokany","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/5561623/1.jpg?1436","https://www.jumia.co.ke/sokany-3-in-1-kitchen-stand-mixer-machine-1200w-power-5l-large-capacity-stainless-steel-bowl-variable-speed-settings-for-perfect-baking-results-easy-mixing-kneading-326165599.html"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","12","tokens:stand|mixer,size,family:mixer,spec:5l,spec:5l","Heavy duty Kitchen  Stand Mixer  Machine 1200W with 5L Stainless Steel Bowl, Whisk, Beaters, Dough H","Sokany","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/8920723/1.jpg?2753","https://www.jumia.co.ke/sokany-heavy-duty-kitchen-stand-mixer-machine-1200w-with-5l-stainless-steel-bowl-whisk-beaters-dough-hooks-8-speed-settings-for-perfect-baking-easy-mixing-kneading-327029868.html"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","12","tokens:stand|mixer,size,family:mixer,spec:5l,spec:5l","Stand mixer 5L","TLAC","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/0155623/1.jpg?9724","https://www.jumia.co.ke/tlac-stand-mixer-5l-326551042.html"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","12","tokens:stand|mixer,size,family:mixer,spec:5l,spec:5l"," 5L Stand Mixer Dough Mixer Machine Stainless Steel Bowl Low Noise Detachable 1200W 1Yr Warranty Bla","TLAC","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/8898623/1.jpg?8518","https://www.jumia.co.ke/tlac-5l-stand-mixer-dough-mixer-machine-stainless-steel-bowl-low-noise-detachable-1200w-1yr-warranty-black-326898810.html"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","12","tokens:stand|mixer,size,family:mixer,spec:5l,spec:5l","5L Stand Mixer Dough Mixer Machine Stainless Steel Bowl Low Noise Detachable 120 WITH 3 FREE BAKING ","TLAC","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/3712813/1.jpg?0312","https://www.jumia.co.ke/tlac-5l-stand-mixer-dough-mixer-machine-stainless-steel-bowl-low-noise-detachable-120-with-3-free-baking-tins0w-1yr-warranty-black-318217329.html"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","12","tokens:dry|steam|clothes|iron,size,family:iron,spec:2200w","Heavy Duty 2200W Electric Steam & Dry Iron For Clothes. Fast Heating Iron With Ceramic Soleplate for","Sokany","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/6356523/1.jpg?9973","https://www.jumia.co.ke/sokany-heavy-duty-2200w-electric-steam-dry-iron-for-clothes.-fast-heating-iron-with-ceramic-soleplate-for-smooth-gliding-adjustable-thermostat-dial-spray-mist.-self-cleaning-iron-for-clothes-at-home-or-office.-300ml-water-tank.-325653663.html"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","11","tokens:steam|clothes|iron,size,family:iron,spec:2200w","Electric Steam Iron Box for Clothes , 2200W Iron with Non-Stick Ceramic Soleplate, Ironing Clothes f","RAF","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/9989423/1.jpg?6187","https://www.jumia.co.ke/raf-electric-steam-iron-box-for-clothes-2200w-iron-with-non-stick-ceramic-soleplate-ironing-clothes-for-home-office-324989967.html"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","11","tokens:dry|steam|iron,size,family:iron,spec:2200w","2 in 1 Dry and Wet Steam Iron Box With 2200W Powerful Spray Steam","RAF","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/7175903/1.jpg?2557","https://www.jumia.co.ke/raf-2-in-1-dry-and-wet-steam-iron-box-with-2200w-powerful-spray-steam-309571780.html"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","11","tokens:steam|clothes|iron,size,family:iron,spec:2200w","Powerful Steam Iron for Clothes with Rapid Heating Ceramic Coated Soleplate, 2200W with Precise Ther","Sokany","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/7554723/1.jpg?8656","https://www.jumia.co.ke/sokany-powerful-steam-iron-for-clothes-with-rapid-heating-ceramic-coated-soleplate-2200w-with-precise-thermostat-dial-self-cleaning-auto-off-480ml-water-tank-for-home-clothes-ironing-use-327455723.html"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","11","tokens:steam|clothes|iron,size,family:iron,spec:2200w","2200W Electric Steam Iron For Clothes. Fast Heating Iron With Ceramic Coating Soleplate, Adjustable ","RAF","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/6864523/1.jpg?3997","https://www.jumia.co.ke/raf-2200w-electric-steam-iron-for-clothes.-fast-heating-iron-with-ceramic-coating-soleplate-adjustable-thermostat-dial-spray-mist.-250ml-water-tank.-self-cleaning-iron-for-clothes-at-home-or-office.-325468639.html"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","13","tokens:vacuum|cleaner|1600w,size,family:vacuum cleaner,spec:1600w,spec:1600w","Vacuum Cleaner 30L Pot 1600W Stainless Steel","BLACK AND DECKER","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/2061723/1.jpg?1633","https://www.jumia.co.ke/black-and-decker-vacuum-cleaner-30l-pot-1600w-stainless-steel-327160202.html"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","13","tokens:vacuum|cleaner|1600w,size,family:vacuum cleaner,spec:1600w,spec:1600w","STAR Wet and Dry Vacuum Cleaner 1600W – 25L Capacity, 16kPa High Suction Power, HEPA Filter, Blower ","WINNING STAR","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/7505723/1.jpg?5743","https://www.jumia.co.ke/customer/account/login/?tkWl=WI225HA5Y6PBGNAFAMZ-466887744&return=%2Fcatalog%2F%3Fq%3D1600W%2520vacuum%2520cleaner"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","13","tokens:vacuum|cleaner|1600w,size,family:vacuum cleaner,spec:1600w,spec:1600w","Wet and Dry Vacuum Cleaner 1600W – 25L Capacity, 16kPa High Suction Power, HEPA Filter, Blower Funct","WINNING STAR","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/4849623/1.jpg?9557","https://www.jumia.co.ke/winning-star-wet-and-dry-vacuum-cleaner-1600w-25l-capacity-16kpa-high-suction-power-hepa-filter-blower-function-stepless-speed-control-for-home-car-garage-commercial-use-326948477.html"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","13","tokens:vacuum|cleaner|1600w,size,family:vacuum cleaner,spec:1600w,spec:1600w","Professional Wet and Dry Vacuum Cleaner 1600W – 25L Capacity, 16kPa High Suction Power, HEPA Filter,","WINNING STAR","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/7142723/1.jpg?9210","https://www.jumia.co.ke/winning-star-professional-wet-and-dry-vacuum-cleaner-1600w-25l-capacity-16kpa-high-suction-power-hepa-filter-blower-function-stepless-speed-control-for-home-car-garage-commercial-use-327241728.html"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","13","tokens:vacuum|cleaner|1600w,size,family:vacuum cleaner,spec:1600w,spec:1600w","TOTAL 1600W Circular Saw, Heavy Duty Wood Cutting Tool witha long Electrical Cord, Powerful Motor, 1","Generic","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/7383523/1.jpg?9463","https://www.jumia.co.ke/generic-total-1600w-circular-saw-heavy-duty-wood-cutting-tool-witha-long-electrical-cord-powerful-motor-185mm-blade-diametervacuum-cleaner-adaptor-aluminium-guard-325383720.html"
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","9","tokens:portable|bluetooth|speaker,size,family:speaker","LN-1036BT Wireless Bluetooth Speaker – Powerful Super Bass, Portable Design, 20W Rich Sound, Long Ba","BoomBest","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/8242613/1.jpg?0310","https://www.jumia.co.ke/customer/account/login/?tkWl=BO257EA5X1EYTNAFAMZ-454822282&return=%2Fcatalog%2F%3Fq%3D20W%2520Audio"
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","9","tokens:portable|bluetooth|speaker,size,family:speaker","LN-1036BT Wireless Bluetooth Speaker – Powerful Super Bass, Portable Design, 20W Rich Sound, Long Ba","BoomBest","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/6321723/1.jpg?8986","https://www.jumia.co.ke/boombest-ln-1036bt-wireless-bluetooth-speaker-powerful-super-bass-portable-design-20w-rich-sound-long-battery-life-327123636.html"
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","9","tokens:portable|bluetooth|speaker,size,family:speaker","Portable Bluetooth Speaker, BT5.3 Wireless Speaker 20W Bass Diaphragms With Multi LED Light Dynamic ","Generic","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/1828223/1.jpg?3085","https://www.jumia.co.ke/generic-portable-bluetooth-speaker-bt5.3-wireless-speaker-20w-bass-diaphragms-with-multi-led-light-dynamic-modes-ipx6-waterproof-16h-playtime-supports-fm-mode-tf-usb-for-home-cycling-outdoor-beach-322828147.html"
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","9","tokens:portable|bluetooth|speaker,size,family:speaker","Bluetooth Speaker 20W + 10W Dual Speaker, BT 5.0, FM Radio, LED Screen, AUX/USB/TF Support, 7.4V 400","BoomBest","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/6691623/1.jpg?9605","https://www.jumia.co.ke/boombest-bluetooth-speaker-20w-10w-dual-speaker-bt-5.0-fm-radio-led-screen-auxusbtf-support-7.4v-4000mah-battery-portable-loudspeaker-326196634.html"
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","9","tokens:portable|bluetooth|speaker,size,family:speaker","H40 20W Powerful Wireless Bluetooth Speaker – Deep Bass High-Fidelity Sound – Long-Life Battery & Po","Generic","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/5459623/1.jpg?7248","https://www.jumia.co.ke/generic-h40-20w-powerful-wireless-bluetooth-speaker-deep-bass-high-fidelity-sound-long-life-battery-portable-outdoor-design-waterproof-ipx5-music-player-for-home-parties-travel-326954562.html"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","11","tokens:electric|water|dispenser,size,family:water dispenser,spec:20l","Automatic Electric Water Pump Dispenser with LED Light, USB Rechargeable Portable Drinking Water Pum","Generic","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/2325623/1.jpg?9602","https://www.jumia.co.ke/generic-automatic-electric-water-pump-dispenser-with-led-light-usb-rechargeable-portable-drinking-water-pump-for-3l-5l-20l-bottles-one-touch-switch-water-dispenser-for-home-kitchen-office-outdoors-hiking-camping-use-326523282.html"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","11","tokens:electric|water|dispenser,size,family:water dispenser,spec:20l","Automatic Electric Water Pump Dispenser with LED Light, USB Rechargeable Portable Drinking Water Pum","Generic","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/1490723/1.jpg?8535","https://www.jumia.co.ke/generic-automatic-electric-water-pump-dispenser-with-led-light-usb-rechargeable-portable-drinking-water-pump-for-3l-5l-20l-bottles-one-touch-switch-water-dispenser-for-home-kitchen-office-outdoors-hiking-camping-use-327094144.html"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","11","tokens:electric|water|dispenser,size,family:water dispenser,spec:20l","ouch Intelligent Electric Water Pump - Automatic USB Rechargeable Water Dispenser - Universal Fit fo","Generic","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/9725623/1.jpg?9566","https://www.jumia.co.ke/generic-ouch-intelligent-electric-water-pump-automatic-usb-rechargeable-water-dispenser-universal-fit-for-5-gallon-20l-bottles-smart-one-button-control-blackwhit-326527973.html"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","11","tokens:electric|water|dispenser,size,family:water dispenser,spec:20l","Automatic Electric Water Pump Dispenser with LED Light, USB Rechargeable Portable Drinking Water Pum","Generic","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/8880723/1.jpg?8032","https://www.jumia.co.ke/generic-automatic-electric-water-pump-dispenser-with-led-light-usb-rechargeable-portable-drinking-water-pump-for-3l-5l-20l-bottles-one-touch-switch-water-dispenser-for-home-kitchen-office-outdoors-hiking-camping-use-327088824.html"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","10","tokens:water|dispenser,size,family:water dispenser,spec:20l","Manual Drinking Water Pump – Portable Hand Press Water Dispenser for 5–20L Bottles, Easy to Install,","Generic","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/5038623/1.jpg?8895","https://www.jumia.co.ke/generic-manual-drinking-water-pump-portable-hand-press-water-dispenser-for-520l-bottles-easy-to-install-bpa-free-durable-convenient-for-home-office-outdoor-use-travel-friendly-safe-and-hygienic-326830526.html"
